headline,abstract,desk,locations,word_count,snippet,source,subjects,url,section,date,type,id
Around the Nation; Lance Trial Is Halted Over Document Dispute City in Maine Takes Step To Get Out of Default Ex-Governor of Maine Tells of Cancer Surgery 55 in Congress Demand Wilmington 10 Be Cleared,Wilmington (NC): 55 Congressmen demand that convictions of Wilmington 10 for '71 firebombing of white-owned grocery store be set aside because case raises 'substantial doubts' about justice in US (S),,"SACO (MAINE), NORTH CAROLINA",681,Wilmington (NC): 55 Congressmen demand that convictions of Wilmington 10 for '71 firebombing of white-owned grocery store be set aside because case raises 'substantial doubts' about justice in US (S),The New York Times,"CANCER, BLACKS (IN US)",http://query.nytimes.com/gst/abstract.html?res=9807E6DE143BE732A25756C2A9679C94619FD6CF,,1/12/1980,Article,4fc4a8a145c1498b0dac66de
Letters; To Tally All Who Live in the United States Suburbia's Message to Transport Planners Choose Your Weapons Let the U.N. Vote On the Olympics What America Needs Is a People's King A Nuclear Risk Study That Didn't Die What Is Happening in East Timor Japan's Helper,Jerome E Schwartz letter holds that main reason why Japan's economy is flourishing is that it is subsidized by US and that Japan contributes less than 1% of its budget to national defense,,"AFGHANISTAN, EAST TIMOR (INDONESIA), STAMFORD (CONN), STAMFORD (CONN), UNITED STATES, WHITE PLAINS (NY), UNITED STATES, UNITED STATES, UNITED STATES, UNITED STATES, JAPAN, JAPAN",1983,Jerome E Schwartz letter holds that main reason why Japan's economy is flourishing is that it is subsidized by US and that Japan contributes less than 1% of its budget to national defense,The New York Times,"ATOMIC ENERGY AND WEAPONS, ELECTRIC LIGHT AND POWER, PRESIDENTIAL ELECTIONS (US), INTERNATIONAL RELATIONS, COMMUNIST-WESTERN RELATIONS, IMMIGRATION AND EMIGRATION, PRESIDENTS AND PRESIDENCY, POPULATION AND VITAL STATISTICS, CENSUS, SHOPPING CENTERS AND MALLS, ECONOMIC CONDITIONS AND TRENDS, ARMAMENT, DEFENSE AND MILITARY FORCES",http://query.nytimes.com/gst/abstract.html?res=9F06E7D71538E732A25755C2A9679C94619FD6CF,,1/13/1980,Letter,4fc4a78d45c1498b0dac1d1c
Exile for Sakharovs Chills Soviet Dissident Movement,,,,975,"MOSCOW--Last Monday night, Andrei Dmitrievich Sakharov and his wife, Yelena Georgievna Bonner, put their signatures to Document 119 of the Moscow Helsinki watch group on human rights.",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=950CEEDD1E31E432A25754C2A9679C94619FD6CF,,1/14/1980,Article,4fc4a89445c1498b0dac586b
"Article 1 -- No Title; A Group Apart in East Timor Diversion of Aid Alleged Suffering, Torture, Jail Few Fixed Political Views No Bribes--Sometimes","2d article notes that newly arrived ethnic Chinese refugees from East Timor in Lisbon, Portugal, report that famine conditions and some fighting are continuing, that Indonesian soldiers act as harsh occupying army and that high ranking officers systematically divert and sell international relief supplies; illus (M)",,EAST TIMOR (INDONESIA),1588,"LISBON--Newly arrived ethnic Chinese refugees from the former Portuguese colony of East Timor say that famine conditions and some fighting have been continuing there, that Indonesian soldiers behave as a harsh occupying army and that high-ranking...",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9907E6DD103EE732A2575AC2A9679C94619FD6CF,,1/15/1980,Article,4fc4a61045c1498b0dabaafd
Sakharov's Statement Carried From Gorky to Moscow by His Wife; Isolation From Outside World Foreign Policy Moves Are Listed Violation of Rights Charged,text of Sakharov's statement,,UNION OF SOVIET SOCIALIST REPUBLICS,1133,"MOSCOW, Jan. 28--Following is the text of Andrei D. Sakharov's statement, brought from Gorky by his wife, Yelena Bonner, and translated from Russian by The New York Times:",The New York Times,POLITICS AND GOVERNMENT,http://query.nytimes.com/gst/abstract.html?res=9A03E6DD103EE732A2575AC2A9679C94619FD6CF,,1/16/1980,Article,4fc4a4ec45c1498b0dab6354
A Man Not Afraid for Himself,Editorial lauds Sakharov's courage in his fight for human rights; denounces banishment,,"UNION OF SOVIET SOCIALIST REPUBLICS, UNION OF SOVIET SOCIALIST REPUBLICS",314,"Even as Soviet police surrounded his house of exile in Gorky, Andrei Sakharov managed to smuggle out another eloquent plea. ""I am for a pluralistic, open society . . . for convergence, disarmament and peace; for the defense of human rights in the...",The New York Times,"SCIENCE AND TECHNOLOGY, POLITICS AND GOVERNMENT",http://query.nytimes.com/gst/abstract.html?res=9D04E1DA1E31E432A25753C3A9679C94619FD6CF,,1/17/1980,Editorial,4fc4a89e45c1498b0dac6446
36 Said to Die in Guatemala Protest; 36 Bodies Reported Found,"Fire kills at least 36 people in Spanish Embassy, Guatemala, where Indian peasants were holding Ambassador Maximo Cajal y Lopez and several other hostages; only survivors of fire, which authorities speculate was started by gasoline bomb accidentally dropped by one of Embassy occupiers, were Cajal y Lopez and unidentified man; among reported as dead are former Guatemalan Vice Pres Eduardo Caceras Lehnhoff and former Guatemalan Foreign Min Adolfo Molina Orantes, as well as Cajal's secretary Jaime Ruiz del Arbol (M)",,GUATEMALA,332,"GUATEMALA, Jan. 31 (UPI)--A fire killed at least 36 people today in the Spanish Embassy, where Indian peasants had been holding the Ambassador and several others hostage, according to Red Cross officials.",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9402E6D61739E232A25752C0A9649C94619FD6CF,,1/18/1980,Article,4fc4a85945c1498b0dac4acb
World News Briefs; Several Arrests Reported In Raid at Pretoria Bank Singapore Is Accused By Amnesty International Swiss Judges Say Marijuana Is Not Dangerous to Health 3 Suspected Hijackers Are Arrested in Beirut Terrorists Say They Killed Italian State Police Officer,"Amnesty International accuses Singapore of torturing political prisoners and holding detainees without trial, in some cases for up to 17 years (S)",,"SWITZERLAND, SOUTH AFRICA, REPUBLIC OF, ITALY, SINGAPORE",568,"Amnesty International accuses Singapore of torturing political prisoners and holding detainees without trial, in some cases for up to 17 years (S)",The New York Times,"AIRLINES, HIJACKING, DRUG ADDICTION, ABUSE AND TRAFFIC, MOHAMMEDANISM, POLITICS AND GOVERNMENT",http://query.nytimes.com/gst/abstract.html?res=9905E5D61739E232A25752C0A9649C94619FD6CF,,1/19/1980,Article,4fc4a49b45c1498b0dab48f6
"Letters; World War III Will Be an Equal Opportunity War Time to Disperse Our Power Plants Unwelcome Aliens Thank You, Canada Why Love Canal Residents Must Still Risk Their Health Abortion vs. Conscience As Education Dollars Stop at Headquarters Rebel Rousers","Lewis C Cohen letter says that because of advances in military weaponry, US should opt for smaller power plants close to loads in order to reduce threat of massive power interruptions; says large centralized power plants make exceedingly attractive targets",,"AFGHANISTAN, NEW YORK CITY, IRAN, CANADA, UNITED STATES, UNITED STATES, UNITED STATES",1969,"Lewis C Cohen letter says that because of advances in military weaponry, US should opt for smaller power plants close to loads in order to reduce threat of massive power interruptions; says large centralized power plants make exceedingly attractive...",The New York Times,"ABORTION, EDUCATION AND SCHOOLS, SCHOOL ADMINISTRATION AND COMMUNITY ROLE, SEWAGE AND INDUSTRIAL WASTES, IMMIGRATION AND EMIGRATION, INTERNATIONAL RELATIONS, COMMUNIST-WESTERN RELATIONS, INTERNATIONAL RELATIONS, COMMUNIST-WESTERN RELATIONS, POPULATION AND VITAL STATISTICS, CENSUS, ELECTRIC LIGHT AND POWER",http://query.nytimes.com/gst/abstract.html?res=9507E4DC1E39E432A25756C0A9649C94619FD6CF,,1/20/1980,Letter,4fc4a49f45c1498b0dab4deb
"2 Ex-Prisoners of Argentina Tell Of Abuses, Killings and Torture","Amnesty International issues report that includes allegations from 2 escaped prisoners, Oscar Alfredo Gonzalez and Horacio Cid de la Paz, who say they saw hundreds jailed, tortured and killed in 3 years under Argentina's military rule; statements by 2 men offer details of conditions in 5 secret camps in Buenos Aires, where they were held during 15-month period before escaping in '79; 2 men now live in Netherlands; Hernan Massini-Ezcurra, official at Argentine Embassy, Washington, says embassy has not received a copy of report, telephone interview (M)",,ARGENTINA,570,"Amnesty International has issued a report that includes allegations from two escaped prisoners who said they saw hundreds of people jailed, tortured and killed in three years under Argentina's military rule.",The New York Times,POLITICS AND GOVERNMENT,http://query.nytimes.com/gst/abstract.html?res=9F03E5DC1E39E432A25756C0A9649C94619FD6CF,,1/21/1980,Article,4fc4a6f145c1498b0dabeb24
News Summary; International National Metropolitan,,,,816,,The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9E01E4DC1E39E432A25756C0A9649C94619FD6CF,,1/22/1980,Article,4fc49a2a45c1498b0da862cb
Excerpts From Report on Rights Around the World; INTRODUCTION AFGHANISTAN CZECHOSLOVAKIA ETHIOPIA ARGENTINA GUATEMALA IRAN CAMBODIA SOUTH KOREA NICARAGUA SOVIET UNION VIETNAM SOUTHERN YEMEN,"Excerpts from US State Dept's annual report to Congress on human rights, which states that at least 100 summary executions for political reasons are believed to have taken place in Ethiopia in '79, much fewer than in '78 (S)",,"GUATEMALA, AFGHANISTAN, NICARAGUA, NORTH KOREA, SOUTH KOREA, TAIWAN, ARGENTINA, u""CHINA, PEOPLES REPUBLIC OF"", IRAN, IRAN, CZECHOSLOVAKIA, CUBA, VIETNAM, CAMBODIA, CAMBODIA, UNION OF SOVIET SOCIALIST REPUBLICS, UNION OF SOVIET SOCIALIST REPUBLICS, ETHIOPIA",1535,"WASHINGTON, Feb. 5--Following are excerpts from the State Department's annual report to Congress on human rights around the world:",The New York Times,"POLITICS AND GOVERNMENT, POLITICS AND GOVERNMENT, FREEDOM AND HUMAN RIGHTS, REFUGEES AND EXPATRIATES, POLITICS AND GOVERNMENT, POLITICS AND GOVERNMENT",http://query.nytimes.com/gst/abstract.html?res=9E00E0D91538E432A25755C0A9649C94619FD6CF,,1/23/1980,Article,4fc4a49f45c1498b0dab4de0
POLITICAL PRISONERS IN BRAZIL DOWN TO 3; Last One Held in Rio Is Released-- Report Lauds Government for Its Democratic Actions Two Stage Hunger Strikes,"Number of political prisoners in Brazil falls to 3 with freeing of last 1 held in Rio de Janeiro, and release of remainder could be imminent; recently released State Dept report on human rights praised Government for its moves to restore democratic institutions after 15 years of military rule and found serious fault only with its treatment of common prisoners, who are often tortured to extract confessions; total fell to 3 when Helio da Silva, former bus driver and member of clandestine political group, was released; remaining political prisoners are Rholine Sonde Cavalcanti, Lucciano Almeida and Jose Sales de Oliveira (M)",,BRAZIL,604,"RIO DE JANEIRO, Feb. 9--The number of political prisoners in Brazil fell to three this week with the freeing of the last one held in Rio de Janeiro, and the release of the remainder could be imminent.",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9F07E7D71538E432A25753C1A9649C94619FD6CF,,1/24/1980,Article,4fc49a3445c1498b0da86f68
Soviet Aides at U.N. Hint Moscow May Soon Cut Troops in Afghanistan; U.S. Sees No Sign of Pullout Yet Kabul Sets Amnesty for Deserters,"State Dept spokesman Hodding Carter 3d holds USSR is 'firming up' position rather than reducing troops in Afghanistan; estimates there are 95,000 Soviet troops in Afghanistan, increase of 5,000 since last week; also reports fighting with rebel guerrillas has increased (S)",,"AFGHANISTAN, AFGHANISTAN, AFGHANISTAN, AFGHANISTAN",686,"UNITED NATIONS, N.Y., Feb. 11-- High-ranking Soviet officials here have begun to signal that Moscow may soon pull out what is described as a ""meaningful"" number of its troops from Afghanistan.",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9B03E5DB1730E532A25751C1A9649C94619FD6CF,,1/25/1980,Article,4fc4a6ef45c1498b0dabe822
"YAKOV A. MALIK, 73; EX-SOVIET U.N. AIDE; Diplomat's Walkout in '50 Enabled U.S. to Organize Korea Force Under World Body's Flag Typical Soviet Diplomat Molotov Took Back Old Job A Conservative Dresser",Dies at age 73; biography; portrait (M),,"UNION OF SOVIET SOCIALIST REPUBLICS, UNION OF SOVIET SOCIALIST REPUBLICS",780,"MOSCOW, Feb. 12(AP)--Yakov A. Malik, a Soviet diplomat who served two tours as delegate to the United Nations, died yesterday after a long illness. He was 73 years old.",The New York Times,"DEATHS, DELEGATES OF MEMBER NATIONS",http://query.nytimes.com/gst/abstract.html?res=9501E2DB1E30E532A25750C1A9649C94619FD6CF,,1/26/1980,Article,4fc4a76a45c1498b0dac1395
Irish Diplomat Says Start of Inquiry May Mean Hostage Freeing in Days; He Opposes Trial of U.S. Carter and Bani-Sadr Praised Some Criticism in Ireland,"Ghotbzadeh says proposed commission will take 10 days to 2 weeks to complete its work, news conference, Rome, Italy (S)",,"IRAN, IRAN",659,"DUBLIN, Feb. 14--Sean MacBride, the former Irish Foreign Minister, said today that he thought the creation of the proposed United Nations commission on Iran would result in the release of the American hostages there ""within a matter of days.""",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9A01E0DD103EE732A25756C1A9649C94619FD6CF,,1/27/1980,Article,4fc4a72945c1498b0dabfcc7
Afghan Ban on Torture Reported,"Turkish representative of Amnesty International quotes Afghan Pres Babrak Karmal as having pledged that 'from now on' there will be no arrests or torture in country; report, published in Istanbul daily Milliyet, was made by columnist Mumtaz Soysal (S)",,AFGHANISTAN,296,"ANKARA, Turkey, Feb. 19--A Turkish representative of Amnesty International quotes the President of Afghanistan as having pledged that ""from now ...",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9802E5DD1530E532A25753C2A9649C94619FD6CF,,1/28/1980,Article,4fc4a85945c1498b0dac4af8
Rhodesia Rights Violations Cited,"Amnesty International says that 'deeply troubling' violations of human rights have continued in Rhodesia in 2 months since British Govt reasserted its control there; says there have been 'considerable improvements' since Lord Soames took over, as step toward granting colony independence, but that they 'do not go far enough' (M)",,ZIMBABWE,306,"LONDON, Feb. 21--Amnesty International said today that ""deeply troubling"" violations of human rights had continued in Rhodesia in the two months since the British Government reasserted its control there.",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9407E2DD143BE732A25751C2A9649C94619FD6CF,,1/29/1980,Article,4fc4a89c45c1498b0dac6272
Salisbury Forces' Role in Election Criticized; Members of Selous Scouts Arrests of Mugabe Supporters,"British authorities, with less than 1 week to go before elections, are facing growing criticism over activities of Rhodesian Army and police, which have been accused of major cease-fire violations and 'dirty tricks' designed to discredit political party led by Robert Mugabe; most serious incident occurred last week, when bomb damaged 2 Salisbury churches (M)",,ZIMBABWE,1053,"SALISBURY, Rhodesia, Feb. 22  With less than a week to go before elections for a black Government, British authorities here are facing growing criticism over the activities of the Rhodesian Army and police, which have been accused of major cease-fire...",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9D01E1DD1339E432A25750C2A9649C94619FD6CF,,1/30/1980,Article,4fc4a85f45c1498b0dac51e8
British Take Rhodesia to Brink of the Improbable; An Optimistic Scenario,"article on efforts by British Foreign Sec Carrington and Lord Soames, British Governor, to bring orderly, democratic transition to majority rule in Rhodesia; praises their ability to persuade bitter political enemies and their armies to put dispute to people in election; map; illus (M)",,ZIMBABWE,1079,"SALISBURY, RHODESIA WHEN Lord Carrington called Rhodesia's feuding factions to Lancaster House in London last September, veterans of Rhodesia negotiations looked on more in pity than in hope.",The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9902E3DB1530E532A25757C2A9649C94619FD6CF,,1/31/1980,Article,4fc4a5dd45c1498b0daba16e
News Summary; International Energy National Metropolitan,,,,844,,The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9B04E3DA103EE732A25756C2A9649C94619FD6CF,,2/1/1980,Article,4fc4a75f45c1498b0dac05e0
Mediator Pessimistic on Chicago Firefighter Strike; Request for Freedom Denied,"Federal Mediation and Conciliation Service representative Edward McMahon proposes 3-point plan, including amnesty for all firefighters, in hope of resolving strike; Illinois Supreme Court denies request to free union's leader, Frank J Muscare, from jail; city prepares to send disciplinary hearing notices to 280 strikers; about 500 firefighters demonstrating in front of Conrad Hilton Hotel boo and jeer Democratic Presidential aspirant Sen Edward Kennedy as he arrives for fund-raising breakfast attended by Mayor Jane M Byrne; Kennedy spokesman John Gage calls demonstration 'unfortunate'; illus (M)",,ILLINOIS,443,"CHICAGO, Feb. 29 (AP)--A threepoint plan, including amnesty for all firefighters, was formally recommended today by a Federal mediator in the hope of resolving their 16-day-old strike.",The New York Times,FIREMEN,http://query.nytimes.com/gst/abstract.html?res=9806E7DB143BE732A25752C0A9659C94619FD6CF,,2/2/1980,Article,4fc4a81c45c1498b0dac3e9c
"Around the Nation; Police and Fire Layoffs Take Effect in Philadelphia Penthouse Publisher Wins $39.4 Million Libel Suit Gold Rush-Era Ship Found, But Builders May Cover It Woods and Grassland Burn In the South and Southwest Chicago Mayor Is Planning Fire Department Overhaul","Archeologists uncover ship from Gold Rush era in fill of land near Telegraph Hill, San Francisco, Calif; discovery is at proposed site of new Levi Strauss Inc headquarters (S)",,"CALIFORNIA, ILLINOIS, PENNSYLVANIA, PENNSYLVANIA, PENNSYLVANIA",802,"Archeologists uncover ship from Gold Rush era in fill of land near Telegraph Hill, San Francisco, Calif; discovery is at proposed site of new Levi Strauss Inc headquarters (S)",The New York Times,"OFFICE BUILDINGS AND OTHER COMMERCIAL PROPERTIES, HUSTLER (PUB), FIREMEN, FIREMEN, FIREMEN, FOREST AND BRUSH FIRES, POLICE, SHIPS AND SHIPPING, HISTORY",http://query.nytimes.com/gst/abstract.html?res=9C0DE4D9103EE732A25751C0A9659C94619FD6CF,,2/3/1980,Article,4fc4a68245c1498b0dabcc83
"Fire Deaths in Chicago Bring Three-Week Toll to 18; Acting as a Go-Between 1,000 Firefighters on Duty","fires kill 7 persons in Chicago, bringing to 18 number of deaths by fires that have occurred during 21-day strike by city firefignters; 3 children and 2 adults perish in a blaze as a fire station near their home remains unmanned and firefighters from another station in vicinity were responding to a fire in another part of city (M)",,"ILLINOIS, ILLINOIS",522,"CHICAGO, March 5--Fires killed seven persons here today, bringing to 18 the number of deaths by fires that have occurred in the 21-day strike by city firefighters.",The New York Times,"FIREMEN, FIRES",http://query.nytimes.com/gst/abstract.html?res=9E04E2DA143BE732A25755C0A9659C94619FD6CF,,2/4/1980,Article,4fc4a68145c1498b0dabcb50
News Summary; International National Metropolitan,,,,609,,The New York Times,,http://query.nytimes.com/gst/abstract.html?res=9F07E1DD1639E731A2575AC0A9659C94619FD6CF,,2/5/1980,Article,4fc4a39445c1498b0daafa98
Chicago Firemen Return Without Contract; Partial Amnesty for Strikers Disagreement Over Mediator Promises Made,firefighters return to work following acceptance of interim agreement to end walkout; some firemen comment; illus (M),,ILLINOIS,845,"CHICAGO, March 8--Firefighters returned to work today after a 23-day strike, their first in the city's history.",The New York Times,FIREMEN,http://query.nytimes.com/gst/abstract.html?res=9F05E0DD1639E731A2575AC0A9659C94619FD6CF,,2/6/1980,Article,4fc49ace45c1498b0da89a89
Rights Group Will Monitor Trial,Amnesty International to monitor trial of 9 persons accused of assaulting French police officers and troops during demonstration against nuclear power plant at Plogoff,,FRANCE,201,"LONDON, March 13 (AP)--Amnesty International said today that it would send an observer to the trial of nine persons accused of assaulting French police officers and troops during demonstrations against a nuclear power plant planned for Brittany.",The New York Times,ATOMIC ENERGY AND WEAPONS,http://query.nytimes.com/gst/abstract.html?res=9F06E0D71530E532A25757C1A9659C94619FD6CF,,2/7/1980,Article,4fc4a68045c1498b0dabca7d
"Future Events; Spring for All Ages Glad to Be Glad Follies"" of the Young Song 'n' Dance Center at Summit Inner-Space Ball Poetic Prices A Place for Peace Double Feature Do It Downtown",,,,1640,,The New York Times,,http://query.nytimes.com/gst/abstract.html?res=990CE6DF113EE732A25755C1A9659C94619FD6CF,,2/8/1980,Article,4fc499b045c1498b0da841e8
Ousted Tijuana Editor Charges Official Repression; Nepotism Reported,"Jesus Blancornelas, former editor of Tijuana's newspaper ABC, who is involved in freedom-of-press case with Mexican Government, has fled to US and vows to seek political asylum unless charges of fraud against him are dropped, Mexican Government stops 'meddling' in matter and he is allowed to continue kind of investigative journalism that led to his troubles; Mexican newspapers, including Mexico City daily Excelsior, have accused Governor Roberto de La Madrid of having caused Blancornelas's troubles; Blancornelas, as editor of ABC, began to print reports in '77 criticizing Governor and his state administration (M)",,"MEXICO, MEXICO",551,"TIJUANA, Mexico, March 15--What started as a political sparring match between a Tijuana journalist and the Governor of Baja California Norte has grown, into a celebrated freedom-of-the-press case.",The New York Times,NEWS AND NEWS MEDIA,http://query.nytimes.com/gst/abstract.html?res=9902EFD6103EE732A25755C1A9659C94619FD6CF,,2/9/1980,Article,4fc4a39a45c1498b0dab01d5
